weight_half_width,k,relative_L2_mean,relative_L2_std,n_seeds
2.5,24,101.67972369726813,18.679672165973145,3
5,24,0.24695153157755403,0.06986998185316749,3
10,24,0.02088396963479292,0.005241017095261904,3
20,24,0.2653934324185113,0.050608128385615944,3
