features,condition_A_svd64,log10_condition_A_svd64,condition_AtA_theoretical,sigma_max_svd64,sigma_min_svd64,numerical_rank_svd64
100,8787.543589667142,3.9438674923044044,77220922.34030008,5115.98174776641,0.5821856467127003,100
200,2031932.0035393173,6.307909170648417,4128747667007.304,7381.663125069725,0.00363282979558961,200
400,1039782863.0235001,9.016942655417564,1.0811484022373467e+18,10553.812955376408,1.0150016249246341e-05,400
800,60351431134618.49,13.780687573132594,3.6422952399965986e+27,14901.227929935412,2.469076151101882e-10,778
1200,2.7332178936742044e+16,16.43667425527417,7.470480054300855e+32,18475.48105873648,6.759607823985193e-13,1046
