k,relative_L2_mean,relative_L2_std,relative_L2_min,relative_L2_max,n_seeds
28,0.16913439439301678,0.024875402253693005,0.15084075585891762,0.19745913662296374,3
32,0.6024081095414854,0.003379535694913168,0.5985260089177629,0.6046930094915055,3
36,3.030303844851311,2.0519384449811535,0.8509078408693672,4.9250646862295735,3
